Source,Target,n,Weight
hptfw,larsklingbeil,1,1
hptfw,spdbt,1,1
huau001,andreaskiesch,1,1
huau001,augstein,2,2
huau001,bild,1,1
huau001,bildamsonntag,1,1
huau001,cdu,4,4
huau001,daserste,2,2
huau001,dernudels,1,1
huau001,derspiegel,1,1
huau001,diezeit,2,2
huau001,faz,1,1
huau001,faznet,1,1
huau001,fr,1,1
huau001,hartaberfair,8,8
huau001,insm,2,2
huau001,pabloguerrez,1,1
huau001,spiegelonline,2,2
huau001,sternde,3,3
hubertstaller3,martinarenner,1,1
hubertstaller3,polizeibb,1,1
iam_onfire,reneromrig,1,1
iam_onfire,tagesschau,1,1
iannis_70,afd,1,1
iannis_70,dushanwegner,1,1
idur2016,vzuschauer,1,1
ignatzguenter,diepartei,1,1
ignatzguenter,locke,1,1
ihrsoichso,misterbeany,1,1
indeed_patriot,afd,1,1
informatikboss,tagesschau,1,1
informatikboss,welt,1,1
ingathomas,welt,1,1
ingolstadt_01,ralfsachsen,1,1
ingosalmen,marioczaja,2,2
interauralgap,cdu,1,1
ioandar,afd,1,1
ioandar,annewill,1,1
ioandar,annewilltalk,1,1
ioandar,hartaberfair,1,1
ioandar,joerg,1,1
ioandar,maischberger,1,1
isgue,cdu,1,1
isgue,ulfposh,1,1
isgue,welt,1,1
isidormeyer1,frreschke,1,1
isidormeyer1,pinselpoetin,1,1
j_iii_s,achgut,1,1
jan_buehlbecker,karl,1,1
janaakyildiz,gms,1,1
japoogin,einzelfallinfos,1,1
jay2ron,cducsubt,1,1
jay2ron,tagesschau,1,1
jazusicherheit,afd,2,2
jazusicherheit,afdimbundestag,1,1
jazusicherheit,andreaschlegel3,1,1
jazusicherheit,entwirklichung,1,1
jazusicherheit,olivermcgee,1,1
jazusicherheit,onlinemagazin,1,1
jazusicherheit,picadofogo,1,1
jazusicherheit,realdonaldtrump,2,2
jazusicherheit,schneeridara,1,1
jazusicherheit,sonjafu2007,1,1
jazusicherheit,stegnerfan,1,1
jazusicherheit,thomasroecke,1,1
jazusicherheit,wmuhsal,1,1
jcaktiv,bverfg,1,1
jens_streubel,kuduzu,1,1
jens_streubel,maltekaufmann,1,1
jesasmaria,420widrick,1,1
jesasmaria,fr,1,1
jesasmaria,linksfraktion,1,1
jesasmaria,lydiakesselring,1,1
jetex17,tagesschau,2,2
jimmybo30047014,ismailtipi,1,1
jimmyderfalke,swagenknecht,1,1
jjay20829551,afd,1,1
jkasek,nopolizeigesetz,1,1
jkcork76,brunzenbichler,1,1
jkcork76,faxendickfaxen2,1,1
jkcork76,poggenburgandre,1,1
joahlen,cdusachsen,1,1
joahlen,der,1,1
joahlen,hirnrunzeln,1,1
joahlen,matthiasmeisner,1,1
joahlen,polizeisachsen,1,1
joerg281967,b,1,1
joerg281967,somext,1,1
joergi69,china,1,1
johanneshano,spdde,1,1
jokel1505,cdunrw,1,1
jokel1505,siegstyle,1,1
jole13031980,bild,1,1
jole13031980,drumheadberlin,1,1
jole13031980,spdde,1,1
jorgekoeln,astro,1,1
jorgekoeln,berlinreporter,1,1
jorgekoeln,giuseppeconteit,1,1
jorgekoeln,m,1,1
jorgekoeln,regsprecher,1,1
jorgekoeln,tagesschau,1,1
jthadeusz,eniejahr,1,1
jtrittin,anja,1,1
juliusagrippa,mdachgott,1,1
juliusagrippa,saefken,1,1
kabuerger,cdu,2,2
kabuerger,mikemohring,1,1
kabuerger,nicolangecdu,1,1
kabuerger,tschipanski,1,1
kaputtnik,k,1,1
kaputtnik,linksfraktionb,1,1
kaputtnik,vonjosbach,1,1
karamallemalle,maxotte,1,1
karl_ost,morgenpost,1,1
kdshpger,altenbockum,1,1
kdshpger,bildamsonntag,2,2
kdshpger,bzberlin,1,1
kdshpger,cdu,10,10
kdshpger,chawkeande,1,1
kdshpger,christundwelt,1,1
kdshpger,descobbrasil,1,1
kdshpger,die,1,1
kdshpger,dielinke,1,1
kdshpger,faz,1,1
kdshpger,faznet,1,1
kdshpger,fr,1,1
kdshpger,frawilde1968,1,1
kdshpger,harry,1,1
kdshpger,hikarigoi,1,1
kdshpger,hugomuellervogg,3,3
kdshpger,josef,2,2
kdshpger,junge,3,3
kdshpger,manuelbewarder,1,1
kdshpger,markreck,1,1
kdshpger,ndaktuell,1,1
kdshpger,rodongo1,1,1
kdshpger,rolandtichy,2,2
kdshpger,spdbt,1,1
kdshpger,sz,2,2
kdshpger,szaktuell,1,1
kdshpger,tschipanski,2,2
kdshpger,tsingelnstein,1,1
kdshpger,welt,2,2
kdshpger,weltnews,1,1
keklumpp,dorotheedeneve,1,1
keklumpp,fehringermartin,1,1
keklumpp,handelsblatt,1,1
keklumpp,stahlzart,1,1
keypousttchi,diezeit,1,1
khaas2306,kreuzacht,1,1
khaas2306,michaelb2861,1,1
killarnbathy,dronalddumb,1,1
killarnbathy,korteingrid,1,1
kirmeskarussell,cdu,1,1
klaastamme,ard,2,2
klaastamme,cdu,1,1
klaastamme,daserste,2,2
klaastamme,faznet,1,1
klaastamme,martinschulz,1,1
klaastamme,spdde,2,2
klassmannangela,andreabullmer,1,1
klassmannangela,bmbf,1,1
klassmannangela,bmi,1,1
klassmannangela,bmwi,1,1
klassmannangela,cdu,1,1
klassmannangela,claudialuisa16,1,1
klassmannangela,csu,1,1
klassmannangela,fraunhofer,2,2
klassmannangela,fraunhoferiis,1,1
klassmannangela,iaostuttgart,1,1
klassmannangela,laloeffelstiel,1,1
klassmannangela,peteraltmaier,1,1
klassmannangela,schaefflerde,1,1
klassmannangela,svenschimpf,1,1
klaus_der_bayer,axelspringer,1,1
klaus_der_bayer,cdu,2,2
klaus_der_bayer,werteinitiative,1,1
klaus_steiger,"bild
",1,1
klaus_steiger,"bild
hÌ_rt",1,1
klaus_steiger,emrich,1,1
klaus_steiger,kokolores20,1,1
kmarseille2,cdu,3,3
kmarseille2,csu,1,1
kmarseille2,dfb,1,1
kmarseille2,jeannetteleipz2,1,1
kmarseille2,karina,1,1
kmarseille2,markhauptmann,1,1
kmarseille2,mikemohring,1,1
kmarseille2,nicolangecdu,1,1
kmarseille2,regsprecher,1,1
kmarseille2,sz,1,1
kmarseille2,tagesschau,1,1
kohlenmunk,bildamsonntag,1,1
kohlenmunk,cdu,1,1
kohlenmunk,welt,1,1
kohlenmunk,werteunion,1,1
komminezuspadt,jassi,1,1
komminezuspadt,steinbacherika,1,1
koshyda,sas,1,1
koysino,schmidtlepp,1,1
koysino,siegstyle,1,1
krahmax,heimat,1,1
kreis_weseler,arminlaschet,1,1
kreis_weseler,nrwpunktde,1,1
kreis_weseler,pontifex,1,1
krippmarie,jouwatch,1,1
kritischemasse1,afd,1,1
kritischemasse1,annewill,1,1
kritischemasse1,annewilltalk,1,1
kritischemasse1,hartaberfair,1,1
kritischemasse1,joerg,1,1
kritischemasse1,maischberger,1,1
kritischertroll,cdu,1,1
kritischertroll,csu,1,1
kuestenkorsar,ntvde,1,1
kurt_hager,kittypunk7,1,1
la_postura,saezreporter,1,1
lakisha_perkins,junge,1,1
lambertzpatrick,cdu,1,1
landtag2018,wmuhsal,1,1
laresistanced1,petertauber,1,1
lars9596,cdu,2,2
lars9596,jurgenpresser,1,1
lars9596,landkaufhalina,1,1
lars9596,libra08101,1,1
lars9596,siegfried1752,1,1
larskelich,felix,2,2
lasallenmarie,r3sistentia,1,1
lasallenmarie,steinbacherika,1,1
lawyerberlin,cdu,1,1
lawyerberlin,ingridbehnke,1,1
lawyerberlin,nanniag,1,1
lawyerberlin,robinalexander,1,1
lehrerrobert,mellenbergjp,1,1
leilak8585,bleibt,1,1
leilak8585,steinbacherika,1,1
lempathia,bild,2,2
lempathia,croqisunshine,1,1
lempathia,eichholtzalex,1,1
lempathia,januwatn,1,1
lempathia,jreichelt,1,1
lempathia,kittypunk7,1,1
lempathia,krimmpeter,1,1
lempathia,ludhell123,1,1
lempathia,mdr,1,1
lempathia,snowcrash729,1,1
lempathia,steinbacherika,1,1
lenin1917stalin,einerhgw,1,1
lenin1917stalin,heikomaas,2,2
lenin1917stalin,jchausk,1,1
lenin1917stalin,sevimdagdelen,2,2
lernedenken,dfakenews,3,3
lesersh,ardde,1,1
lesersh,bild,2,2
lesersh,br24,1,1
lesersh,bvrpresse,1,1
lesersh,cdu,2,2
lesersh,daserste,2,2
lesersh,fdp,1,1
lesersh,focusonline,1,1
lesersh,investigativ,1,1
lesersh,katarinabarley,1,1
lesersh,katjasuding,1,1
lesersh,manuelbewarder,1,1
lesersh,marcelpauly,1,1
lesersh,ndr,1,1
lesersh,spdde,1,1
lesersh,sz,1,1
lesersh,tagesschau,1,1
lesersh,totalkaiser,1,1
lesersh,welt,8,8
lesersh,zdfheute,1,1
letmoneywork050,wdr5,1,1
liane13,faznet,1,1
liane13,jensspahn,1,1
liane13,richardgrenell,1,1
liane13,schulzeeuropa,1,1
libelle2000r,heinrich,1,1
libelle2000r,notabaris,1,1
lichtblick_m_,iq,1,1
lieblingsblog,platonstochter,1,1
lilija_taisija,adenauerhut,1,1
lilija_taisija,bildamsonntag,1,1
lilija_taisija,cdu,2,2
lilija_taisija,gefluechteter,1,1
lilija_taisija,hartaberfair,1,1
lilija_taisija,opinionrings,1,1
lilija_taisija,steinbacherika,1,1
linksfraktionb,f,1,1
linksfraktionhb,cdufraktionhb,1,1
linksfraktionhb,gruenebremen,1,1
linksfraktionhb,hbbuergerschaft,1,1
linksfraktionhb,linksfraktionhb,1,1
linksfraktionhb,spdfraktionhb,1,1
linuspapst,derfreitag,1,1
lioncalvet,edwardbernd1,1,1
lioncalvet,maxotte,1,1
lorbass1962,enricotokar,1,1
lothfrohwein,zdfheute,1,1
lotta_kaa,senficon,1,1
loud_smell_,spiegelonline,1,1
lovebeatshb,jensspahn,2,2
ludhell123,cdu,1,1
ludhell123,heutejournal,1,1
ludhell123,josef,1,1
ludhell123,tagesschau,2,2
ludhell123,ybbac,1,1
ludhell123,zdfheute,1,1
ludo7s,maybritillner,1,1
ludo7s,zdfheute,1,1
lunaunruly,joerg,1,1
lutzhi,witt,1,1
macbeth0815,afd,1,1
macbeth0815,gg,1,1
madlen_hapunkt,doris,1,1
madlen_hapunkt,kalleneukoelln,1,1
mai_manfred,manuelbewarder,1,1
mai_manfred,robinalexander,1,1
mai_manfred,welt,1,1
maionlinie,morgenpost,1,1
maltekaufmann,cdu,1,1
manfred_hbg,netzfall,1,1
manfred_hbg,vonschwer,1,1
manubee777,cdu,1,1
manuel_k_b,mdr,1,1
marcelleon21,johnhoff80,1,1
mariomayl,rogerbeckamp,1,1
mariomayl,wahlrecht,1,1
markreck,cdu,1,1
markusnielbock,ankehassel,1,1
markusnielbock,luebberding,1,1
markusnielbock,mlewandowsky,1,1
markusnielbock,n,1,1
markusnielbock,ralf,2,2
martentjaden,korallenherz,1,1
martentjaden,pengberlin,1,1
martinberlin8,janboehm,1,1
martinf63286269,welt,1,1
matt88158,aleshanee,1,1
matt88158,daserste,1,1
matt88158,nicolediekmann,1,1
matt88158,pogo161,1,1
mattbannert,dianakinnert,1,1
matthes63276614,beatrix,1,1
matthes63276614,tagesschau,1,1
matthes63276614,uwe,1,1
matthiasmeisner,polizeisachsen,1,1
maxdax2018,mittelfinger,1,1
maxdax2018,roger896,1,1
mc_z17,cdu,1,1
mc_z17,lr,1,1
mc_z17,waltrautdunz,1,1
mckstf,iq,1,1
mckstf,ralf,1,1
mckstf,tinimaus1110,1,1
mdcologne,a,1,1
meier_mib,matthiasmeisner,1,1
meier_mib,polizeisachsen,1,1
meinehauptstadt,sebastiankurz,1,1
menschenzeitung,menschenzeitung,2,2
merdeux_,cdu,1,1
merkelno,iq,1,1
merkelno,krippmarie,1,1
merkelno,vanberlichingen,1,1
mesnnak,cdu,1,1
mesnnak,get,1,1
mfsmielke,siegfried1752,1,1
mic_am_tisch,mikemohring,1,1
micha_bild,dielinkebrdburg,1,1
micha_bild,golzediana,1,1
michael_lahs,dfakenews,1,1
michael_seyfert,jouwatch,1,1
michael_seyfert,vonzainach,1,1
michaelheinzw,martinschulz,1,1
michaimpress,cdu,1,1
micham92094501,cdu,1,1
michel89187343,tagesspiegel,1,1
milanchudaske,plengsfeld,1,1
miriam_stockl,awp2015awp,1,1
miriam_stockl,webaxvita,1,1
mirkohorn,swagenknecht,1,1
missmilchkaffee,sz,1,1
misterfashion24,cdu,1,1
mm67ch,larsklingbeil,1,1
mm67ch,youngkaengu,1,1
modschegiebche1,drbrandner,1,1
modschegiebche1,shlomosapiens,1,1
moertelundkelle,lata,1,1
monia1420,gelbkopfamazone,1,1
moselexpi,epochtimesde,1,1
moselexpi,tagesschau,1,1
mqstandpunkt,bildamsonntag,1,1
mqstandpunkt,cdu,2,2
mueller_sepp,cdu,1,1
mueller_sepp,jim1panse,1,1
musevg,axelvossmdep,1,1
myerikd,120db,1,1
myerikd,120dezibel,16,16
myerikd,"120dezibel
",13,13
myerikd,"120dezibel
‰_Ê•üè",1,1
myerikd,"120dezibel
‰_Ê•üè32",1,1
myerikd,"120dezibel
bahnhof",1,1
myerikd,"120dezibel
seniorenwohnheim",1,1
myerikd,afd,2,2
myerikd,afdimbundestag,6,6
myerikd,"afdimbundestag
",2,2
myerikd,"afdimbundestag
",6,6
myerikd,"afdimbundestag
alice",1,1
myerikd,"afdimbundestag
bamf",1,1
myerikd,"afdimbundestag
das",2,2
myerikd,"afdimbundestag
ein",1,1
myerikd,"afdimbundestag
milliarden",1,1
myerikd,alice,2,2
myerikd,drdavidberger,1,1
myerikd,ibdeutschland,1,1
myerikd,steinbacherika,1,1
mz435,martinschulz,1,1
mz435,martinsonneborn,1,1
mz435,zora,1,1
nadjahirsch,josefaschmid,3,3
nammob8080,junge,1,1
nancypeggymandy,steinbacherika,1,1
nastruefing,janredmannwk,1,1
nastruefing,ju,1,1
nebur1612,cdu,2,2
nebur1612,dielinke,2,2
nebur1612,dietmarbartsch,2,2
nebur1612,michakolster,2,2
nebur1612,phoenix,2,2
newsaustria,alice,1,1
newsaustria,chat,2,2
newsboy1899,mue48,1,1
ngc13xx,welt,1,1
nichtvermietbar,cdu,1,1
nicki100001,beatrix,4,4
nicki100001,"youtube
r",1,1
nicohb3,bildamsonntag,1,1
nicohb3,cdu,1,1
nicohb3,mikimesser1,1,1
nicolassustr,die,1,1
nicolassustr,ndaktuell,1,1
nikolaus1977,krippmarie,1,1
nikolaus1977,morgenmagazin,1,1
nix_liste,dpolghh,1,1
nolimenta,netzpolitik,1,1
normanmarkgraf,benjamindthomas,2,2
nrw_ja,lawyerberlin,1,1
nullachtk,darth,1,1
nullachtk,wurfschuh,1,1
nutzerklaus,juliakloeckner,1,1
oallvater,steinhoefel,1,1
oanszwoagsuffa,tagesschau,1,1
oekosozial,fritztwitzzz,1,1
oekosozial,oekomobil,1,1
offbeat24,junge,1,1
ohmyboobness,lars9596,1,1
ohmyboobness,maxotte,1,1
ollinoell,f,1,1
ollinoell,lila,1,1
ollinoell,tosid,1,1
omeibuddhawtf,pnocdem,1,1
onestepbayond,annewilltalk,1,1
onestepbayond,arnefriedrich,1,1
onestepbayond,cdu,1,1
onestepbayond,csu,1,1
onestepbayond,daserste,1,1
onestepbayond,die,1,1
onestepbayond,dielinke,1,1
onestepbayond,goldaufweiss,1,1
onestepbayond,gregorgysi,1,1
onestepbayond,rebharms,1,1
opolane,jost2018,1,1
opolane,nopepope2,1,1
opolane,nowabofm,1,1
opolane,superliebling,1,1
otto_direkt,cduberlin,1,1
paerisch,spiegelonline,1,1
patrickharam,dielinke,1,1
patrickharam,katjakipping,1,1
paullamperd,diezeit,2,2
paullamperd,flemmingsascha,1,1
paullamperd,joernlinnertz,1,1
paullamperd,l,1,1
paullamperd,rolfmeissler,1,1
pebru23,cducsubt,1,1
pebru23,friedrich,1,1
pebru23,karstenhoth,1,1
pebru23,sz,1,1
per_bike_berlin,cduberlin,1,1
per_bike_berlin,til,1,1
peter37890169,diemigrantin,1,1
peter37890169,netzfall,1,1
peter37890169,sawsanchebli,1,1
peterabo1,afd,1,1
peterabo1,afdimbundestag,1,1
peterabo1,frank,1,1
peterpa34083139,ard,1,1
peterpa34083139,aufstehengegen,1,1
peterpa34083139,benedictneff,1,1
peterpa34083139,cartegianyd,1,1
peterpa34083139,faznet,1,1
peterpa34083139,krippmarie,1,1
peterpa34083139,lawyerberlin,1,1
peterpa34083139,martinaholst,1,1
peterpa34083139,reclaimyourclub,1,1
peterpa34083139,regberlin,1,1
peterpa34083139,stoppt,1,1
peterpa34083139,tsghessen,1,1
peterpa34083139,ulrichschneider,1,1
peterpa34083139,weltnews,1,1
peterpanther6,cducsubt,1,1
peterpanther6,pschnieder,1,1
peterstauf,cducsubt,1,1
peterstauf,duezentekkal,1,1
peterstauf,hhirte,1,1
peterstauf,spdbt,1,1
peterstuyvesa13,joachimstamp,1,1
peterstuyvesa13,junge,1,1
phillip_balt,cduberlin,1,1
phillip_balt,hesselmann,1,1
picadofogo,lillyheidelberg,1,1
pip_news,michael,1,1
piratenburgdorf,csu,1,1
piratenburgdorf,tweetsausmuc,1,1
piratenddorf,soeesa,1,1
plitch04,contraafd1,1,1
pmachinery,stefanleifert,1,1
polderkeist,patrick,1,1
polderkeist,presseservicern,1,1
polderkeist,snarksnsparks,1,1
politironie,beatrix,1,1
politironie,faz,1,1
polologode,polologode,1,1
ponti_fox,cdu,1,1
ponti_fox,rponline,1,1
ppmmal,cducsubt,1,1
ppmmal,dielinke,1,1
ppmmal,dietmarbartsch,1,1
ppmmal,holgereluard,1,1
ppmmal,phoenix,1,1
praktoretiker,cdu,1,1
praktoretiker,chrdorner,1,1
profpaulwelfens,tichyseinblick,1,1
psijc,juliakloeckner,1,1
pulsfeuer,cdu,2,2
pulsfeuer,cducsubt,1,1
pulsfeuer,cdusachsen,1,1
pulsfeuer,csu,1,1
pulsfeuer,polizeisachsen,1,1
pulsfeuer,smisachsen,1,1
pumaspucke,endos85,1,1
pumaspucke,realjohr,1,1
pumaspucke,steinbacherika,1,1
qbersetzer,karlheppner,1,1
qbersetzer,vonschwer,1,1
rabe8448,janmetzler,1,1
rahaake,maphimoto,1,1
rainer_rehak,heuteshow,1,1
rainer_rehak,koesterfabian,1,1
ralfklein8888,cducsubt,1,1
ralfklein8888,fdp,1,1
ralfklein8888,spdde,1,1
raphael_sprouse,afd,1,1
raphael_sprouse,cdu,1,1
raphael_sprouse,csu,1,1
raphael_sprouse,die,1,1
raphael_sprouse,dielinke,1,1
raphael_sprouse,fdp,1,1
raphael_sprouse,koblitzhagen,1,1
raphael_sprouse,spdde,1,1
raphael_sprouse,steinbacherika,1,1
raphaelbeerlin,afd,1,1
raphaelbeerlin,exanimes,1,1
raphaelbeerlin,gtzfrmming,1,1
raphaelbeerlin,tagesspiegel,1,1
raulibauer,larsklingbeil,1,1
raumbewusstsein,manuelbewarder,1,1
raumbewusstsein,robinalexander,1,1
raumbewusstsein,welt,1,1
rautenallergie,bodoloettgen,1,1
rautenallergie,cdu,1,1
rautenallergie,cdunrw,1,1
rautenallergie,daliagrinfeld,1,1
rautenallergie,jsudeutschland,1,1
rautenallergie,mikedelberg,1,1
rautenallergie,zdfheute,1,1
real_albundy,dpa,1,1
real_albundy,jostowasser,1,1
real_albundy,petadeutschland,3,3
real_albundy,ralphruthe,1,1
real_albundy,welt,1,1
real_civem,einanalytiker,1,1
real_civem,libelle2000r,1,1
real_civem,martinschulz,1,1
real_civem,miriamozen,1,1
realeinzelfall,realeinzelfall,1,1
realnewzblog,jasminkosubek,1,1
realnewzblog,maxotte,1,1
rei_chert,spd,1,1
rembrandt1405,drpeternagel,1,1
renatebiller,regsprecher,1,1
rettingklaus,senficon,1,1
rheinjogger,afdtrischi,1,1
rheinjogger,jenshagen12,1,1
ribannah28,wdr,1,1
rippedflower,bildamsonntag,1,1
rippedflower,cdu,1,1
rippedflower,klauskontra,1,1
rippedflower,ntvde,1,1
rippedflower,null,1,1
rippedflower,ufomedia,1,1
rippedflower,welt,1,1
ritter_roter,dwn,1,1
robbyderblaue,handelsblatt,1,1
robbyderblaue,thomassigmundhb,1,1
robertwesson8,samtpfote29,1,1
robinvonloxley,watch,1,1
rockypsr,66freedom66,1,1
rolandhuwer,maxotte,1,1
rolf_s_58,tagesthemen,1,1
romy88416563,adeutscherd,1,1
ronaldlaessig,berlinerzeitung,1,1
ronkonschak,bahakirlidokme,1,1
ronkonschak,bodoloettgen,1,1
ronkonschak,cducsubt,1,1
ronkonschak,cdunrw,1,1
ronkonschak,dlfnachrichten,1,1
ropde_,dergelbestrich,1,1
ropde_,franziskam108,1,1
roving_master,juliakloeckner,1,1
rtc2568,alice,1,1
ruhrgesicht,rolandheintze,1,1
rundblick_nds,cdu,1,1
rusticusarat,larsklingbeil,1,1
rusticusarat,steinekecdu,1,1
sabeth_faber,stefansell,1,1
schiethus,cdu,1,1
schiethus,vk,1,1
schiethus,zdf,2,2
schmibast,andreag799,1,1
schmibast,karina,1,1
schmitt4711,anti,1,1
schmitt4711,mdr,1,1
schmitzj83,bildamsonntag,1,1
schmitzj83,cdu,1,1
schmitzj83,tagesschau,1,1
schnubb36,hoeckewatch,1,1
schreiter,annewill,1,1
schwabacher41,aquinate2,1,1
schwabacher41,krippmarie,1,1
schwabacher41,mari123on,1,1
schwabacher41,norgeprivacy,1,1
schwabacher41,richardgrenell,1,1
schwabacher41,steinhoefel,1,1
schwabacher41,vanberlichingen,1,1
schwabacher41,welt,1,1
schwabenuwe,ismailtipi,1,1
schwabenuwe,maltekaufmann,1,1
schwabenuwe,r,1,1
schwabenuwe,reiner,1,1
sebasti36951992,andrezeven,1,1
simonimous,konstantinnotz,1,1
sinter959,cdusachsen,1,1
sinter959,dd,1,1
sinter959,der,1,1
sinter959,matthiasmeisner,1,1
sinter959,mpkretschmer,2,2
sinter959,polizeisachsen,1,1
sinter959,pterodactylus2,1,1
sinter959,schmanle,1,1
sirtom504,cdu,2,2
sirtom504,dietmaramann1,1,1
sirtom504,jiselaaah,1,1
sirtom504,phoenix,1,1
sirtom504,steinbacherika,1,1
sirtom504,triggermehappy,1,1
skydemoney,bild,1,1
skydemoney,cducsubt,2,2
skydemoney,ppopular,2,2
skyrgamur,dielinke,1,1
skyrgamur,katjakipping,1,1
snupki,andreas34256291,1,1
snupki,beatrix,1,1
snupki,dieter,1,1
snupki,kardinalrmarx,9,9
snupki,karlheppner,1,1
snupki,lydiapurpur,1,1
snupki,verusoss1,2,2
soharymanuel,dushanwegner,1,1
sophielongw,drpeternagel,1,1
sozialebewegung,montagsdemoffo,1,1
spartakus_x,annalist,1,1
spartakus_x,hessenschaude,1,1
spartakus_x,siegstyle,1,1
spikeycat1,junge,1,1
spikeycat1,peterroger17,1,1
sprudel74,cdu,1,1
sprudel74,ulfposh,1,1
sprudel74,welt,1,1
sripchen,handelsblatt,1,1
starnovar1,gba,1,1
starnovar1,karina,1,1
starnovar1,katrinhleipzig1,1,1
starnovar1,kirkeline,1,1
starnovar1,lawyerberlin,1,1
starnovar1,regsprecher,1,1
starnovar1,sebastianhertel,1,1
stefanscharf_dd,sladade,1,1
stefanscharf_dd,stefanolix,1,1
stephen12miller,afd,1,1
stephen12miller,apatzwahl,1,1
stephen12miller,aufklaerer2017,1,1
stephen12miller,ch2ch2ch2ch2ch2,1,1
stephen12miller,conni,1,1
stephen12miller,elkepoley,2,2
stephen12miller,grueneneukoelln,1,1
stephen12miller,herrmannliane,1,1
stephen12miller,houelle,1,1
stephen12miller,jeannetteleipz2,1,1
stephen12miller,jost2018,1,1
stephen12miller,junge,1,1
stephen12miller,karina,2,2
stephen12miller,krippmarie,1,1
stephen12miller,lienientroy1,1,1
stephen12miller,lillyheidelberg,1,1
stephen12miller,linksfraktion,2,2
stephen12miller,maxotte,1,1
stephen12miller,michaelheinzw,1,1
stephen12miller,peterpa34083139,1,1
stephen12miller,ralf,1,1
stephen12miller,rbb24,1,1
stephen12miller,schafdas,3,3
stephen12miller,sternde,1,1
stephen12miller,udohemmelgarn,1,1
stephen12miller,unbequemes,1,1
stephen12miller,vollhorst,1,1
stephen12miller,webaxvita,1,1
stephen12miller,welt,1,1
stephen12miller,zeitonline,1,1
stschilling75,junge,1,1
stuggirad,adfc,1,1
stuggirad,sabinecrook2,1,1
stuggirad,vcd,1,1
stuggirad,wegerecht,1,1
sumymus,c,1,1
sumymus,konstantinnotz,1,1
super_rezepte,kopietzandreas,1,1
superbasti331,ealanicnamara,1,1
superbasti331,jouwatch,1,1
superbasti331,krippmarie,1,1
susaschneider,fdpfraktionnrw,1,1
suum_cuuique72,afd,1,1
suum_cuuique72,"dielinke
40j",1,1
suum_cuuique72,juergen,1,1
suum_cuuique72,kpd,1,1
suum_cuuique72,sandrasigel,1,1
suum_cuuique72,"spdde
80j",1,1
suum_cuuique72,vonschwer,1,1
svetlana_evil2,bodoloettgen,1,1
svetlana_evil2,cdunrw,2,2
svostrow,frreschke,1,1
sweetfalke,afd,1,1
sweetfalke,bild,1,1
sweetfalke,heinrich,1,1
sweetfalke,joanacotar,1,1
sweetfalke,lawyerberlin,1,1
sweetfalke,steinbacherika,1,1
tandemvipera,a,1,1
tandemvipera,epochtimesde,1,1
tandemvipera,flescholiver,1,1
tbe979,maxotte,1,1
tbe979,udohemmelgarn,1,1
tchidorakisdoth,schmidtwolf,1,1
tchidorakisdoth,spiegelonline,1,1
team_dizzi,spdnds,1,1
teite99,varg,1,1
terrabyte1973,cdu,2,2
terrabyte1973,jensspahn,1,1
terrabyte1973,regsprecher,1,1
terrabyte1973,roberthabeck,1,1
terrabyte1973,tagesschau,1,1
th_fricke,dfakenews,1,1
theparrotsaid,spiegelonline,1,1
thetroglo,jreichelt,2,2
thewalkerandrew,"cdu
das",1,1
thoschi,cdu,1,1
thoschi,jsudeutschland,1,1
thoschi,sintlos,1,1
thotti22,66freedom66,1,1
tigerelch,seriousandorian,1,1
tikitaki2101,bildamsonntag,1,1
tikitaki2101,jreichelt,1,1
tikitaki2101,welt,1,1
timo_schaeller,afd,1,1
timo_schaeller,chr,1,1
timo_schaeller,harzerkas,1,1
timo_schaeller,patrickbeier,1,1
timokles72,dlf,1,1
tinosorge,jensspahn,1,1
tinosorge,richardgrenell,1,1
tjark_limmer,axelspringer,1,1
tjark_limmer,bettercallaxel,1,1
tjark_limmer,cdu,12,12
tjark_limmer,cducsubt,2,2
tjark_limmer,cdurlp,1,1
tjark_limmer,daliagrinfeld,1,1
tjark_limmer,jsudeutschland,2,2
tjark_limmer,manuelaschwesig,1,1
tjark_limmer,markus,1,1
tjark_limmer,mechthildheil,1,1
tjark_limmer,mikedelberg,2,2
tjark_limmer,mikemohring,1,1
tjark_limmer,prienkarin,1,1
tjark_limmer,rponline,1,1
tjark_limmer,tschipanski,1,1
tjark_limmer,waltrautdunz,1,1
tjark_limmer,werteinitiative,1,1
togromdecker,joerg,1,1
tomsentogo,weltnews,1,1
tomy3203,aufklaerer2017,1,1
tomy3203,bundeswehrinfo,1,1
tomy3203,bvg,1,1
tomy3203,cdu,2,2
tomy3203,daserste,1,1
tomy3203,dneuerer,1,1
tomy3203,dpa,1,1
tomy3203,faznet,1,1
tomy3203,handelsblatt,5,5
tomy3203,heuteshow,1,1
tomy3203,insm,1,1
tomy3203,jsudeutschland,1,1
tomy3203,mikedelberg,1,1
tomy3203,monte,1,1
tomy3203,rbbabendschau,1,1
tomy3203,sz,1,1
tomy3203,tagesspiegel,2,2
tomy3203,tazgezwitscher,2,2
tomy3203,viz,1,1
tomy3203,wiese,1,1
tomy3203,zdfheute,2,2
tonisch44077265,epochtimesde,1,1
torfinia,cdusachsen,1,1
torguess1,eskensaskia,1,1
torguess1,sz,2,2
torguess1,tagesschau,5,5
train63,faznet,1,1
train63,gaschke,1,1
train63,loriotfehlt,1,1
train63,welt,1,1
train63,weltnews,4,4
